"campaign","sample_ID","date_time","weight_g","T_C","RH","Area_m2","Patm","Dry_weight","Fresh_weight"
"branch_vs_leaf_4","blup",20/10/20 15:08,3.079264,25.7225,66.2225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:12,3.150051,26.195,52.7075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:16,3.114658,25.6675,63.5325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:20,3.061567,25.94,63.2175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:24,3.04387,25.9425,63.0475,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:28,3.167748,25.965,63.05,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:32,3.04387,25.95,63.01,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:36,3.096961,26.045,62.8675,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:40,3.167748,25.8975,63.0825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:44,3.096961,25.9325,63.015,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:48,3.096961,25.925,63.005,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:52,3.061567,25.8925,62.9325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 15:56,3.079264,25.8775,62.9425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:00,3.150051,25.9375,62.905,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:04,3.061567,25.9325,62.7075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:08,3.096961,25.9525,63.0275,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:12,3.061567,25.9125,63.315,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:16,3.150051,25.985,62.8225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:20,3.04387,25.925,63.17,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:24,3.026173,25.9325,62.9925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:28,3.079264,25.8625,63.27,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:32,3.061567,25.805,63.2,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:36,3.079264,25.77,63.6825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:40,3.061567,25.8125,63.2075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:44,3.114658,25.975,63.045,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:48,3.096961,25.9275,62.8975,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:52,3.114658,26.005,62.915,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 16:56,3.061567,25.8675,63.01,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:00,3.04387,25.895,62.8775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:04,2.990779,25.79,63.165,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:08,3.026173,25.8525,63.225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:12,3.04387,25.795,63.355,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:16,3.061567,25.81,63.295,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:20,3.026173,25.855,63.19,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:24,3.026173,25.89,63.2075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:28,3.096961,25.8975,63.325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:32,3.061567,25.8425,63.36,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:36,3.079264,25.81,63.5525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:40,3.079264,25.9075,63.065,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:44,3.04387,25.8625,63.11,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:48,2.973082,25.735,63.5725,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:52,3.079264,25.8075,63.465,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 17:56,3.04387,25.7425,63.5275,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:00,3.096961,25.745,63.42,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:04,3.061567,25.83,63.2825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:08,3.061567,25.8325,63.2025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:12,3.04387,25.8325,63.2725,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:16,3.026173,25.8975,63.17,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:20,3.008476,25.84,63.2325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:24,3.026173,25.8825,63.14,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:28,3.114658,25.7825,63.4875,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:32,3.026173,25.7975,63.19,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:36,2.990779,25.8225,63.325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:40,3.008476,25.765,63.44,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:44,3.04387,25.8575,63.33,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:48,3.114658,25.8325,63.3525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:52,3.008476,25.905,63.2925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 18:56,2.990779,25.9225,63.1375,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:00,3.008476,25.7925,63.4975,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:04,3.026173,25.77,63.52,0.0351,101.325,2.2,3.4
