,Campaign,Sample_ID,Gmin_mean,percentage_rwc_sup,percentage_rwc_inf,time_sup,time_inf,method_of_rwc,slope,Rsquared,K,VPD,mean_T,mean_RH,mean_Patm,mean_area,Mode,meantime
0,branchvsleaf_input_campaign4,LITU_BD_01,2.6218313639881448,50.00912242291554,40.0265853467824,1436.0,1940.0,provided_dry_fresh_weight,-0.0014341752202849,0.9614143458275493,-0.0013268137013736,1.2292384384583437,25.738464566929128,63.210984251968505,101.32500000000007,0.0417143685,RWC filtered,1688.0
1,branchvsleaf_input_campaign4,LITU_BD_03,2.737031580178304,49.98922181504632,39.99038254265672,1320.0,1756.0,provided_dry_fresh_weight,-0.00132651759349,0.8603915964331678,-0.0012272152616094,1.2288035007191551,25.73809090909091,63.22318181818181,101.32500000000006,0.0369721845,RWC filtered,1538.0
2,branchvsleaf_input_campaign4,LITU_LD_01,80.1188161992323,49.506749740394575,46.65109034267911,3980.000000000001,3984.000000000001,provided_dry_fresh_weight,-0.0054999999999999,1.0,-0.0050882732139975,1.175324953826259,25.7375,64.8225,101.325,0.0054751315,RWC filtered,3982.000000000001
3,branchvsleaf_input_campaign4,LITU_BD_04,0.1548353969040374,49.988283734475935,45.36872761356408,2240.0,3744.0,provided_dry_fresh_weight,-4.244205395159168e-05,0.5705577307820138,-3.926486659434998e-05,1.2314249645344089,25.74629973474801,63.16275862068966,101.32500000000002,0.0208661599999999,RWC filtered,2992.0
4,branchvsleaf_input_campaign4,LITU_LD_02,3.3863386859253404,49.92972593113141,40.003513703443424,644.0,1012.0,provided_dry_fresh_weight,-0.000438408283847,0.6217900471903882,-0.0004055892959079,1.2403919082361448,25.754247311827957,62.91209677419354,101.32500000000006,0.00978394,RWC filtered,828.0
5,branchvsleaf_input_campaign4,LITU_BD_02,4.773769782787187,50.19466807443577,39.9663455193348,560.0,752.0,provided_dry_fresh_weight,-0.0031913010204081,0.9563361500075324,-0.0029524020908992,1.237704930915731,25.73234693877551,62.94408163265307,101.325,0.0506306525,RWC filtered,656.0
6,branchvsleaf_input_campaign4,LITU_LD_03,3.06841945131775,49.91922455573501,40.22617124394181,712.0,988.0,provided_dry_fresh_weight,-0.0002425698738178,0.5303173126411157,-0.0002244112348127,1.242352303649516,25.76311594202899,62.87311594202898,101.325,0.00596488,RWC filtered,850.0
7,branchvsleaf_input_campaign4,LITU_BD_05,4.861054233129367,50.35012809564478,39.931682322801045,672.0,844.0,provided_dry_fresh_weight,-0.003206835799859,0.960160242551738,-0.0029667739458384,1.245499608448216,25.770454545454538,62.795340909090896,101.325,0.0496508864999999,RWC filtered,758.0
8,branchvsleaf_input_campaign4,LITU_BD_06,6.189441954356893,50.23968163043804,40.034369441345824,504.00000000000006,664.0,provided_dry_fresh_weight,-0.0032793989547038,0.8241301380863452,-0.0030339050653147,1.228659361777777,25.68243902439024,63.10524390243903,101.325,0.040423658,RWC filtered,584.0
9,branchvsleaf_input_campaign4,LITU_LD_04,5.073690838988232,50.16096339573152,40.026231071897016,436.0,608.0,provided_dry_fresh_weight,-0.0004534707540521,0.7890557986903801,-0.0004195241983954,1.2267977206171776,25.65613636363636,63.10329545454547,101.325,0.0068293075,RWC filtered,522.0
10,branchvsleaf_input_campaign4,LITU_LD_05,14.604596143726456,50.21707670043419,39.797395079594814,120.0,148.0,provided_dry_fresh_weight,-0.0006071428571428,0.1658615907025688,-0.000561692497649,1.2067471513639323,25.60625,63.598125,101.325,0.0032293075,RWC filtered,134.0
11,branchvsleaf_input_campaign4,LITU_BD_07,3.5480220027059564,49.9386399221362,40.015234226228266,1288.0,1628.0,provided_dry_fresh_weight,-0.0013470918439549,0.9768301025138212,-0.0012462493357073,1.228731966394561,25.73802325581396,63.225174418604645,101.32500000000007,0.0289653039999998,RWC filtered,1458.0
12,branchvsleaf_input_campaign4,LITU_LD_07,5.488379350639992,49.99451694264721,40.01535256058777,760.0,980.0,provided_dry_fresh_weight,-0.0004580314422419,0.7636022826003941,-0.0004237434761324,1.2410777645041564,25.756071428571428,62.895625,101.32500000000002,0.006303424,RWC filtered,870.0
13,branchvsleaf_input_campaign4,LITU_LD_08,1.0071602431048572,49.18550936056407,42.37782640408461,20.0,3964.000000000001,provided_dry_fresh_weight,-4.914864113238217e-05,0.554182812741714,-4.546940257786924e-05,1.2254212422464592,25.720906788247213,63.2868085106383,101.32500000000002,0.0037329475,RWC filtered,1992.0000000000005
14,branchvsleaf_input_campaign4,LITU_BD_08,4.316127925794785,50.02730748225014,40.23562456112976,844.0,1060.0000000000002,provided_dry_fresh_weight,-0.0010591089466089,0.9616865996704592,-0.00097982466977,1.2359684753879556,25.746,63.02618181818183,101.325,0.0186107245,RWC filtered,952.0000000000001
15,branchvsleaf_input_campaign4,LITU_BD_09,3.8148871498570895,50.0973889888804,40.03796937794324,928.0,1300.0,provided_dry_fresh_weight,-0.0013964545027634,0.8975085717022682,-0.0012919167347231,1.2169514484815016,25.711648936170207,63.520425531914896,101.32500000000007,0.0281965639999999,RWC filtered,1114.0
0,branchvsleaf_input_campaign4,LITU_BD_01,2.6218313639881448,50.00912242291554,40.0265853467824,1436.0,1940.0,provided_dry_fresh_weight,-0.0014341752202849,0.9614143458275493,-0.0013268137013736,1.2292384384583437,25.738464566929128,63.210984251968505,101.32500000000007,0.0417143685,RWC filtered,1688.0
1,branchvsleaf_input_campaign4,LITU_BD_03,2.737031580178304,49.98922181504632,39.99038254265672,1320.0,1756.0,provided_dry_fresh_weight,-0.00132651759349,0.8603915964331678,-0.0012272152616094,1.2288035007191551,25.73809090909091,63.22318181818181,101.32500000000006,0.0369721845,RWC filtered,1538.0
2,branchvsleaf_input_campaign4,LITU_LD_01,80.1188161992323,49.506749740394575,46.65109034267911,3980.000000000001,3984.000000000001,provided_dry_fresh_weight,-0.0054999999999999,1.0,-0.0050882732139975,1.175324953826259,25.7375,64.8225,101.325,0.0054751315,RWC filtered,3982.000000000001
3,branchvsleaf_input_campaign4,LITU_BD_04,0.1548353969040374,49.988283734475935,45.36872761356408,2240.0,3744.0,provided_dry_fresh_weight,-4.244205395159168e-05,0.5705577307820138,-3.926486659434998e-05,1.2314249645344089,25.74629973474801,63.16275862068966,101.32500000000002,0.0208661599999999,RWC filtered,2992.0
4,branchvsleaf_input_campaign4,LITU_LD_02,3.3863386859253404,49.92972593113141,40.003513703443424,644.0,1012.0,provided_dry_fresh_weight,-0.000438408283847,0.6217900471903882,-0.0004055892959079,1.2403919082361448,25.754247311827957,62.91209677419354,101.32500000000006,0.00978394,RWC filtered,828.0
5,branchvsleaf_input_campaign4,LITU_BD_02,4.773769782787187,50.19466807443577,39.9663455193348,560.0,752.0,provided_dry_fresh_weight,-0.0031913010204081,0.9563361500075324,-0.0029524020908992,1.237704930915731,25.73234693877551,62.94408163265307,101.325,0.0506306525,RWC filtered,656.0
6,branchvsleaf_input_campaign4,LITU_LD_03,3.06841945131775,49.91922455573501,40.22617124394181,712.0,988.0,provided_dry_fresh_weight,-0.0002425698738178,0.5303173126411157,-0.0002244112348127,1.242352303649516,25.76311594202899,62.87311594202898,101.325,0.00596488,RWC filtered,850.0
7,branchvsleaf_input_campaign4,LITU_BD_05,4.861054233129367,50.35012809564478,39.931682322801045,672.0,844.0,provided_dry_fresh_weight,-0.003206835799859,0.960160242551738,-0.0029667739458384,1.245499608448216,25.770454545454538,62.795340909090896,101.325,0.0496508864999999,RWC filtered,758.0
8,branchvsleaf_input_campaign4,LITU_BD_06,6.189441954356893,50.23968163043804,40.034369441345824,504.00000000000006,664.0,provided_dry_fresh_weight,-0.0032793989547038,0.8241301380863452,-0.0030339050653147,1.228659361777777,25.68243902439024,63.10524390243903,101.325,0.040423658,RWC filtered,584.0
9,branchvsleaf_input_campaign4,LITU_LD_04,5.073690838988232,50.16096339573152,40.026231071897016,436.0,608.0,provided_dry_fresh_weight,-0.0004534707540521,0.7890557986903801,-0.0004195241983954,1.2267977206171776,25.65613636363636,63.10329545454547,101.325,0.0068293075,RWC filtered,522.0
10,branchvsleaf_input_campaign4,LITU_LD_05,14.604596143726456,50.21707670043419,39.797395079594814,120.0,148.0,provided_dry_fresh_weight,-0.0006071428571428,0.1658615907025688,-0.000561692497649,1.2067471513639323,25.60625,63.598125,101.325,0.0032293075,RWC filtered,134.0
11,branchvsleaf_input_campaign4,LITU_BD_07,3.5480220027059564,49.9386399221362,40.015234226228266,1288.0,1628.0,provided_dry_fresh_weight,-0.0013470918439549,0.9768301025138212,-0.0012462493357073,1.228731966394561,25.73802325581396,63.225174418604645,101.32500000000007,0.0289653039999998,RWC filtered,1458.0
12,branchvsleaf_input_campaign4,LITU_LD_07,5.488379350639992,49.99451694264721,40.01535256058777,760.0,980.0,provided_dry_fresh_weight,-0.0004580314422419,0.7636022826003941,-0.0004237434761324,1.2410777645041564,25.756071428571428,62.895625,101.32500000000002,0.006303424,RWC filtered,870.0
